model_name,sample_count,selected_route_cer,oracle_gap,route_accuracy,false_safe_count,target_family
fixed_mixed,1,0.7,0.45,0.0,1,cleaned_win_anchor
fixed_separated,1,0.25,0.0,1.0,0,cleaned_win_anchor
fixed_cleaned,1,0.25,0.0,0.0,0,cleaned_win_anchor
generative_regret_no_cost,1,0.7,0.45,0.0,1,cleaned_win_anchor
generative_regret_cost_aware,1,0.7,0.45,0.0,1,cleaned_win_anchor
fixed_mixed,3,0.318527,0.0,1.0,0,mixed_win_anchor
fixed_separated,3,0.975091,0.656563,0.0,0,mixed_win_anchor
fixed_cleaned,3,0.975091,0.656563,0.0,0,mixed_win_anchor
generative_regret_no_cost,3,0.318527,0.0,1.0,0,mixed_win_anchor
generative_regret_cost_aware,3,0.318527,0.0,1.0,0,mixed_win_anchor
fixed_mixed,4,1.0,0.0,1.0,4,review_needed_anchor
fixed_separated,4,1.0,0.0,0.0,0,review_needed_anchor
fixed_cleaned,4,1.0,0.0,0.0,0,review_needed_anchor
generative_regret_no_cost,4,1.0,0.0,0.75,3,review_needed_anchor
generative_regret_cost_aware,4,1.0,0.0,0.75,3,review_needed_anchor
fixed_mixed,1,1.0,0.611111,0.0,1,separated_win_anchor
fixed_separated,1,0.388889,0.0,1.0,0,separated_win_anchor
fixed_cleaned,1,0.388889,0.0,0.0,0,separated_win_anchor
generative_regret_no_cost,1,0.388889,0.0,1.0,0,separated_win_anchor
generative_regret_cost_aware,1,0.388889,0.0,1.0,0,separated_win_anchor
