input_name,task_name,accuracy,macro_f1,mae,spearman
logmel_only,oracle_route_classification,0.888889,0.883117,,
logmel_only,separation_helpful_binary,0.888889,0.883117,,
logmel_only,review_risk_detection,1.0,1.0,,
logmel_only,route_gap_bucket_prediction,0.888889,0.641026,,
logmel_only,route_regret_regression,,,0.051143,0.860214
handcrafted_audiodepth_v2,oracle_route_classification,0.888889,0.883117,,
handcrafted_audiodepth_v2,separation_helpful_binary,0.888889,0.883117,,
handcrafted_audiodepth_v2,review_risk_detection,1.0,1.0,,
handcrafted_audiodepth_v2,route_gap_bucket_prediction,1.0,1.0,,
handcrafted_audiodepth_v2,route_regret_regression,,,0.062895,0.922278
generated_maps_only,oracle_route_classification,0.888889,0.883117,,
generated_maps_only,separation_helpful_binary,0.888889,0.883117,,
generated_maps_only,review_risk_detection,1.0,1.0,,
generated_maps_only,route_gap_bucket_prediction,1.0,1.0,,
generated_maps_only,route_regret_regression,,,0.061352,0.922278
logmel_plus_generated_maps,oracle_route_classification,0.888889,0.883117,,
logmel_plus_generated_maps,separation_helpful_binary,0.888889,0.883117,,
logmel_plus_generated_maps,review_risk_detection,1.0,1.0,,
logmel_plus_generated_maps,route_gap_bucket_prediction,1.0,1.0,,
logmel_plus_generated_maps,route_regret_regression,,,0.061352,0.922278
teacher_maps_upper_bound,oracle_route_classification,0.888889,0.883117,,
teacher_maps_upper_bound,separation_helpful_binary,0.888889,0.883117,,
teacher_maps_upper_bound,review_risk_detection,0.444444,0.415584,,
teacher_maps_upper_bound,route_gap_bucket_prediction,0.444444,0.292929,,
teacher_maps_upper_bound,route_regret_regression,,,0.334056,0.041445
shuffled_generated_maps,oracle_route_classification,0.555556,0.5,,
shuffled_generated_maps,separation_helpful_binary,0.555556,0.5,,
shuffled_generated_maps,review_risk_detection,0.555556,0.5,,
shuffled_generated_maps,route_gap_bucket_prediction,0.555556,0.5,,
shuffled_generated_maps,route_regret_regression,,,0.365355,-0.093913
zero_maps,oracle_route_classification,0.555556,0.357143,,
zero_maps,separation_helpful_binary,0.555556,0.357143,,
zero_maps,review_risk_detection,0.222222,0.181818,,
zero_maps,route_gap_bucket_prediction,0.222222,0.181818,,
zero_maps,route_regret_regression,,,0.524216,-0.12498
