sample_id,dataset_source,split_hint,mixed_wav_path,source_track_1_path,source_track_2_path,deployable_map_path,analysis_teacher_map_path,reference_type,overlap_ratio,dominance_type,target_family,oracle_route,route_gap,mixed_cer,separated_cer,cleaned_cer,mixed_regret,separated_regret,cleaned_regret,review_needed,source_utterance_ids,counterfactual_family_id,target_task,target_path,target_quality,target_scope,student_input_policy,logmel_mean,logmel_std,logmel_p90,overlap_proxy_mean,overlap_proxy_std,overlap_proxy_p90,uncertainty_proxy_mean,uncertainty_proxy_std,uncertainty_proxy_p90,overlap_uncertainty_product
controlled_route_sensitive_v2_0030,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0030_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0030_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0030_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0030.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0030.npy,silver_plus_unverified,0.85,speaker_A_dominant,separated_win_anchor,separated,0.0,1.0,0.32,0.32,0.68,0.0,0.0,True,con_008|pro_011,controlled_route_sensitive_v2_candidate_0030,OVERLAP_MAP,resources/generative_audiodepth_targets/overlap_map/controlled_route_sensitive_v2_0030.npy,oracle_source_activity,time_frequency_map,mixed_audio_or_mixed_logmel_only,0.40708,0.147362,0.6,0.687485,0.207312,0.886275,0.408104,0.188561,0.690196,0.259568
controlled_route_sensitive_v2_0030,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0030_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0030_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0030_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0030.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0030.npy,silver_plus_unverified,0.85,speaker_A_dominant,separated_win_anchor,separated,0.0,1.0,0.32,0.32,0.68,0.0,0.0,True,con_008|pro_011,controlled_route_sensitive_v2_candidate_0030,DOMINANCE_MAP,resources/generative_audiodepth_targets/dominance_map/controlled_route_sensitive_v2_0030.npy,oracle_source_activity,time_frequency_map,mixed_audio_or_mixed_logmel_only,0.40708,0.147362,0.6,0.687485,0.207312,0.886275,0.408104,0.188561,0.690196,0.259568
controlled_route_sensitive_v2_0030,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0030_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0030_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0030_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0030.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0030.npy,silver_plus_unverified,0.85,speaker_A_dominant,separated_win_anchor,separated,0.0,1.0,0.32,0.32,0.68,0.0,0.0,True,con_008|pro_011,controlled_route_sensitive_v2_candidate_0030,UNCERTAINTY_MAP,resources/generative_audiodepth_targets/uncertainty_map/controlled_route_sensitive_v2_0030.npy,weak_uncertainty_target,time_frequency_map,mixed_audio_or_mixed_logmel_only,0.40708,0.147362,0.6,0.687485,0.207312,0.886275,0.408104,0.188561,0.690196,0.259568
controlled_route_sensitive_v2_0030,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0030_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0030_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0030_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0030.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0030.npy,silver_plus_unverified,0.85,speaker_A_dominant,separated_win_anchor,separated,0.0,1.0,0.32,0.32,0.68,0.0,0.0,True,con_008|pro_011,controlled_route_sensitive_v2_candidate_0030,ROUTE_REGRET,resources/generative_audiodepth_targets/route_regret/controlled_route_sensitive_v2_0030.npy,real_whisper_sample_level_regret,sample_level_vector,mixed_audio_or_mixed_logmel_only,0.40708,0.147362,0.6,0.687485,0.207312,0.886275,0.408104,0.188561,0.690196,0.259568
controlled_route_sensitive_v2_0030,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0030_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0030_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0030_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0030.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0030.npy,silver_plus_unverified,0.85,speaker_A_dominant,separated_win_anchor,separated,0.0,1.0,0.32,0.32,0.68,0.0,0.0,True,con_008|pro_011,controlled_route_sensitive_v2_candidate_0030,REVIEW_RISK,resources/generative_audiodepth_targets/review_risk/controlled_route_sensitive_v2_0030.npy,stage2_review_guard_heuristic,sample_level_vector,mixed_audio_or_mixed_logmel_only,0.40708,0.147362,0.6,0.687485,0.207312,0.886275,0.408104,0.188561,0.690196,0.259568
controlled_route_sensitive_v2_0058,controlled_route_sensitive_v2_real_whisper,test,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0058.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0058.npy,silver_plus_unverified,0.75,speaker_B_dominant,separated_win_anchor,separated,0.0,1.0,0.333333,0.333333,0.666667,0.0,0.0,True,con_003|pro_010,controlled_route_sensitive_v2_candidate_0058,OVERLAP_MAP,resources/generative_audiodepth_targets/overlap_map/controlled_route_sensitive_v2_0058.npy,oracle_source_activity,time_frequency_map,mixed_audio_or_mixed_logmel_only,0.40433,0.143759,0.592157,0.763343,0.205179,0.933333,0.481495,0.187953,0.737255,0.348067
controlled_route_sensitive_v2_0058,controlled_route_sensitive_v2_real_whisper,test,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0058.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0058.npy,silver_plus_unverified,0.75,speaker_B_dominant,separated_win_anchor,separated,0.0,1.0,0.333333,0.333333,0.666667,0.0,0.0,True,con_003|pro_010,controlled_route_sensitive_v2_candidate_0058,DOMINANCE_MAP,resources/generative_audiodepth_targets/dominance_map/controlled_route_sensitive_v2_0058.npy,oracle_source_activity,time_frequency_map,mixed_audio_or_mixed_logmel_only,0.40433,0.143759,0.592157,0.763343,0.205179,0.933333,0.481495,0.187953,0.737255,0.348067
controlled_route_sensitive_v2_0058,controlled_route_sensitive_v2_real_whisper,test,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0058.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0058.npy,silver_plus_unverified,0.75,speaker_B_dominant,separated_win_anchor,separated,0.0,1.0,0.333333,0.333333,0.666667,0.0,0.0,True,con_003|pro_010,controlled_route_sensitive_v2_candidate_0058,UNCERTAINTY_MAP,resources/generative_audiodepth_targets/uncertainty_map/controlled_route_sensitive_v2_0058.npy,weak_uncertainty_target,time_frequency_map,mixed_audio_or_mixed_logmel_only,0.40433,0.143759,0.592157,0.763343,0.205179,0.933333,0.481495,0.187953,0.737255,0.348067
controlled_route_sensitive_v2_0058,controlled_route_sensitive_v2_real_whisper,test,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0058.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0058.npy,silver_plus_unverified,0.75,speaker_B_dominant,separated_win_anchor,separated,0.0,1.0,0.333333,0.333333,0.666667,0.0,0.0,True,con_003|pro_010,controlled_route_sensitive_v2_candidate_0058,ROUTE_REGRET,resources/generative_audiodepth_targets/route_regret/controlled_route_sensitive_v2_0058.npy,real_whisper_sample_level_regret,sample_level_vector,mixed_audio_or_mixed_logmel_only,0.40433,0.143759,0.592157,0.763343,0.205179,0.933333,0.481495,0.187953,0.737255,0.348067
controlled_route_sensitive_v2_0058,controlled_route_sensitive_v2_real_whisper,test,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0058.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0058.npy,silver_plus_unverified,0.75,speaker_B_dominant,separated_win_anchor,separated,0.0,1.0,0.333333,0.333333,0.666667,0.0,0.0,True,con_003|pro_010,controlled_route_sensitive_v2_candidate_0058,REVIEW_RISK,resources/generative_audiodepth_targets/review_risk/controlled_route_sensitive_v2_0058.npy,stage2_review_guard_heuristic,sample_level_vector,mixed_audio_or_mixed_logmel_only,0.40433,0.143759,0.592157,0.763343,0.205179,0.933333,0.481495,0.187953,0.737255,0.348067
