sample_id,target_task,student_source_sample_id,mae,teacher_mean,student_mean,overlap_ratio,dominance_type,target_family,oracle_route,route_gap,review_needed,high_error_mixed
controlled_route_sensitive_v2_0002,OVERLAP_MAP,controlled_route_sensitive_v2_0006,0.093391,0.192757,0.136923,0.55,balanced,separated_win_anchor,separated,0.0,True,True
controlled_route_sensitive_v2_0002,DOMINANCE_MAP,controlled_route_sensitive_v2_0006,0.148616,0.692274,0.663754,0.55,balanced,separated_win_anchor,separated,0.0,True,True
controlled_route_sensitive_v2_0002,UNCERTAINTY_MAP,controlled_route_sensitive_v2_0006,0.102859,0.165613,0.128682,0.55,balanced,separated_win_anchor,separated,0.0,True,True
controlled_route_sensitive_v2_0008,OVERLAP_MAP,controlled_route_sensitive_v2_0012,0.29834,0.47584,0.443155,0.5,speaker_A_dominant,review_needed_anchor,mixed,0.0,True,True
controlled_route_sensitive_v2_0008,DOMINANCE_MAP,controlled_route_sensitive_v2_0012,0.268696,0.217587,0.342472,0.5,speaker_A_dominant,review_needed_anchor,mixed,0.0,True,True
controlled_route_sensitive_v2_0008,UNCERTAINTY_MAP,controlled_route_sensitive_v2_0012,0.302618,0.336276,0.374939,0.5,speaker_A_dominant,review_needed_anchor,mixed,0.0,True,True
controlled_route_sensitive_v2_0013,OVERLAP_MAP,controlled_route_sensitive_v2_0033,0.20389,0.355638,0.336534,0.15,speaker_A_dominant,mixed_win_anchor,mixed,0.766667,False,False
controlled_route_sensitive_v2_0013,DOMINANCE_MAP,controlled_route_sensitive_v2_0033,0.198229,0.148859,0.211046,0.15,speaker_A_dominant,mixed_win_anchor,mixed,0.766667,False,False
controlled_route_sensitive_v2_0013,UNCERTAINTY_MAP,controlled_route_sensitive_v2_0033,0.220053,0.284829,0.272784,0.15,speaker_A_dominant,mixed_win_anchor,mixed,0.766667,False,False
controlled_route_sensitive_v2_0024,OVERLAP_MAP,controlled_route_sensitive_v2_0012,0.27653,0.445944,0.443155,0.5,balanced,review_needed_anchor,mixed,0.0,True,True
controlled_route_sensitive_v2_0024,DOMINANCE_MAP,controlled_route_sensitive_v2_0012,0.28195,0.225465,0.342472,0.5,balanced,review_needed_anchor,mixed,0.0,True,True
controlled_route_sensitive_v2_0024,UNCERTAINTY_MAP,controlled_route_sensitive_v2_0012,0.273644,0.387423,0.374939,0.5,balanced,review_needed_anchor,mixed,0.0,True,True
controlled_route_sensitive_v2_0030,OVERLAP_MAP,controlled_route_sensitive_v2_0006,0.182963,0.187955,0.136923,0.85,speaker_A_dominant,separated_win_anchor,separated,0.0,True,True
controlled_route_sensitive_v2_0030,DOMINANCE_MAP,controlled_route_sensitive_v2_0006,0.317717,0.742042,0.663754,0.85,speaker_A_dominant,separated_win_anchor,separated,0.0,True,True
controlled_route_sensitive_v2_0030,UNCERTAINTY_MAP,controlled_route_sensitive_v2_0006,0.145623,0.156595,0.128682,0.85,speaker_A_dominant,separated_win_anchor,separated,0.0,True,True
controlled_route_sensitive_v2_0036,OVERLAP_MAP,controlled_route_sensitive_v2_0012,0.281928,0.441494,0.443155,0.3,speaker_B_dominant,review_needed_anchor,mixed,0.0,True,True
controlled_route_sensitive_v2_0036,DOMINANCE_MAP,controlled_route_sensitive_v2_0012,0.272187,0.266969,0.342472,0.3,speaker_B_dominant,review_needed_anchor,mixed,0.0,True,True
controlled_route_sensitive_v2_0036,UNCERTAINTY_MAP,controlled_route_sensitive_v2_0012,0.283021,0.311428,0.374939,0.3,speaker_B_dominant,review_needed_anchor,mixed,0.0,True,True
controlled_route_sensitive_v2_0041,OVERLAP_MAP,controlled_route_sensitive_v2_0045,0.300832,0.257562,0.441053,0.1,speaker_B_dominant,mixed_win_anchor,mixed,0.862069,False,False
controlled_route_sensitive_v2_0041,DOMINANCE_MAP,controlled_route_sensitive_v2_0045,0.207839,0.190201,0.198242,0.1,speaker_B_dominant,mixed_win_anchor,mixed,0.862069,False,False
controlled_route_sensitive_v2_0041,UNCERTAINTY_MAP,controlled_route_sensitive_v2_0045,0.273895,0.200557,0.293788,0.1,speaker_B_dominant,mixed_win_anchor,mixed,0.862069,False,False
controlled_route_sensitive_v2_0047,OVERLAP_MAP,controlled_route_sensitive_v2_0023,0.30902,0.157758,0.151262,0.55,balanced,cleaned_win_anchor,separated,0.0,True,True
controlled_route_sensitive_v2_0047,DOMINANCE_MAP,controlled_route_sensitive_v2_0023,0.375728,0.778249,0.768802,0.55,balanced,cleaned_win_anchor,separated,0.0,True,True
controlled_route_sensitive_v2_0047,UNCERTAINTY_MAP,controlled_route_sensitive_v2_0023,0.260881,0.139113,0.122304,0.55,balanced,cleaned_win_anchor,separated,0.0,True,True
controlled_route_sensitive_v2_0058,OVERLAP_MAP,controlled_route_sensitive_v2_0028,0.272883,0.194894,0.332491,0.75,speaker_B_dominant,separated_win_anchor,separated,0.0,True,True
controlled_route_sensitive_v2_0058,DOMINANCE_MAP,controlled_route_sensitive_v2_0028,0.584943,0.683667,0.16862,0.75,speaker_B_dominant,separated_win_anchor,separated,0.0,True,True
controlled_route_sensitive_v2_0058,UNCERTAINTY_MAP,controlled_route_sensitive_v2_0028,0.215873,0.174841,0.213396,0.75,speaker_B_dominant,separated_win_anchor,separated,0.0,True,True
