sample_id,dataset_source,split_hint,mixed_wav_path,source_track_1_path,source_track_2_path,deployable_map_path,analysis_teacher_map_path,reference_type,overlap_ratio,dominance_type,target_family,oracle_route,route_gap,mixed_cer,separated_cer,cleaned_cer,mixed_regret,separated_regret,cleaned_regret,review_needed,source_utterance_ids,counterfactual_family_id,target_task,target_path,target_quality,target_scope,student_input_policy,logmel_mean,logmel_std,logmel_p90,overlap_proxy_mean,overlap_proxy_std,overlap_proxy_p90,uncertainty_proxy_mean,uncertainty_proxy_std,uncertainty_proxy_p90,overlap_uncertainty_product
controlled_route_sensitive_v2_0040,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0040_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0040_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0040_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0040.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0040.npy,silver_plus_unverified,0.5,speaker_B_dominant,review_needed_anchor,mixed,0.0,1.0,1.0,1.0,0.0,0.0,0.0,True,con_007|pro_004,controlled_route_sensitive_v2_candidate_0040,OVERLAP_MAP,resources/generative_audiodepth_targets/overlap_map/controlled_route_sensitive_v2_0040.npy,oracle_source_activity,time_frequency_map,mixed_audio_or_mixed_logmel_only,0.45108,0.122914,0.611765,0.638771,0.176992,0.815686,0.478585,0.135352,0.65098,0.298472
controlled_route_sensitive_v2_0040,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0040_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0040_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0040_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0040.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0040.npy,silver_plus_unverified,0.5,speaker_B_dominant,review_needed_anchor,mixed,0.0,1.0,1.0,1.0,0.0,0.0,0.0,True,con_007|pro_004,controlled_route_sensitive_v2_candidate_0040,DOMINANCE_MAP,resources/generative_audiodepth_targets/dominance_map/controlled_route_sensitive_v2_0040.npy,oracle_source_activity,time_frequency_map,mixed_audio_or_mixed_logmel_only,0.45108,0.122914,0.611765,0.638771,0.176992,0.815686,0.478585,0.135352,0.65098,0.298472
controlled_route_sensitive_v2_0040,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0040_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0040_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0040_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0040.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0040.npy,silver_plus_unverified,0.5,speaker_B_dominant,review_needed_anchor,mixed,0.0,1.0,1.0,1.0,0.0,0.0,0.0,True,con_007|pro_004,controlled_route_sensitive_v2_candidate_0040,UNCERTAINTY_MAP,resources/generative_audiodepth_targets/uncertainty_map/controlled_route_sensitive_v2_0040.npy,weak_uncertainty_target,time_frequency_map,mixed_audio_or_mixed_logmel_only,0.45108,0.122914,0.611765,0.638771,0.176992,0.815686,0.478585,0.135352,0.65098,0.298472
controlled_route_sensitive_v2_0040,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0040_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0040_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0040_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0040.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0040.npy,silver_plus_unverified,0.5,speaker_B_dominant,review_needed_anchor,mixed,0.0,1.0,1.0,1.0,0.0,0.0,0.0,True,con_007|pro_004,controlled_route_sensitive_v2_candidate_0040,ROUTE_REGRET,resources/generative_audiodepth_targets/route_regret/controlled_route_sensitive_v2_0040.npy,real_whisper_sample_level_regret,sample_level_vector,mixed_audio_or_mixed_logmel_only,0.45108,0.122914,0.611765,0.638771,0.176992,0.815686,0.478585,0.135352,0.65098,0.298472
controlled_route_sensitive_v2_0040,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0040_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0040_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0040_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0040.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0040.npy,silver_plus_unverified,0.5,speaker_B_dominant,review_needed_anchor,mixed,0.0,1.0,1.0,1.0,0.0,0.0,0.0,True,con_007|pro_004,controlled_route_sensitive_v2_candidate_0040,REVIEW_RISK,resources/generative_audiodepth_targets/review_risk/controlled_route_sensitive_v2_0040.npy,stage2_review_guard_heuristic,sample_level_vector,mixed_audio_or_mixed_logmel_only,0.45108,0.122914,0.611765,0.638771,0.176992,0.815686,0.478585,0.135352,0.65098,0.298472
controlled_route_sensitive_v2_0042,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0042_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0042_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0042_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0042.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0042.npy,silver_plus_unverified,0.75,speaker_B_dominant,separated_win_anchor,separated,0.0,0.818182,0.454545,0.454545,0.363637,0.0,0.0,True,con_009|pro_015,controlled_route_sensitive_v2_candidate_0042,OVERLAP_MAP,resources/generative_audiodepth_targets/overlap_map/controlled_route_sensitive_v2_0042.npy,oracle_source_activity,time_frequency_map,mixed_audio_or_mixed_logmel_only,0.297279,0.151432,0.462745,0.670358,0.24772,0.941176,0.467157,0.255119,0.827451,0.265826
controlled_route_sensitive_v2_0042,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0042_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0042_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0042_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0042.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0042.npy,silver_plus_unverified,0.75,speaker_B_dominant,separated_win_anchor,separated,0.0,0.818182,0.454545,0.454545,0.363637,0.0,0.0,True,con_009|pro_015,controlled_route_sensitive_v2_candidate_0042,DOMINANCE_MAP,resources/generative_audiodepth_targets/dominance_map/controlled_route_sensitive_v2_0042.npy,oracle_source_activity,time_frequency_map,mixed_audio_or_mixed_logmel_only,0.297279,0.151432,0.462745,0.670358,0.24772,0.941176,0.467157,0.255119,0.827451,0.265826
controlled_route_sensitive_v2_0042,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0042_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0042_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0042_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0042.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0042.npy,silver_plus_unverified,0.75,speaker_B_dominant,separated_win_anchor,separated,0.0,0.818182,0.454545,0.454545,0.363637,0.0,0.0,True,con_009|pro_015,controlled_route_sensitive_v2_candidate_0042,UNCERTAINTY_MAP,resources/generative_audiodepth_targets/uncertainty_map/controlled_route_sensitive_v2_0042.npy,weak_uncertainty_target,time_frequency_map,mixed_audio_or_mixed_logmel_only,0.297279,0.151432,0.462745,0.670358,0.24772,0.941176,0.467157,0.255119,0.827451,0.265826
controlled_route_sensitive_v2_0042,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0042_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0042_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0042_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0042.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0042.npy,silver_plus_unverified,0.75,speaker_B_dominant,separated_win_anchor,separated,0.0,0.818182,0.454545,0.454545,0.363637,0.0,0.0,True,con_009|pro_015,controlled_route_sensitive_v2_candidate_0042,ROUTE_REGRET,resources/generative_audiodepth_targets/route_regret/controlled_route_sensitive_v2_0042.npy,real_whisper_sample_level_regret,sample_level_vector,mixed_audio_or_mixed_logmel_only,0.297279,0.151432,0.462745,0.670358,0.24772,0.941176,0.467157,0.255119,0.827451,0.265826
controlled_route_sensitive_v2_0042,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0042_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0042_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0042_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0042.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0042.npy,silver_plus_unverified,0.75,speaker_B_dominant,separated_win_anchor,separated,0.0,0.818182,0.454545,0.454545,0.363637,0.0,0.0,True,con_009|pro_015,controlled_route_sensitive_v2_candidate_0042,REVIEW_RISK,resources/generative_audiodepth_targets/review_risk/controlled_route_sensitive_v2_0042.npy,stage2_review_guard_heuristic,sample_level_vector,mixed_audio_or_mixed_logmel_only,0.297279,0.151432,0.462745,0.670358,0.24772,0.941176,0.467157,0.255119,0.827451,0.265826
