policy_name,sample_count,selected_route_cer,realized_regret,route_accuracy,false_safe_count,high_error_mixed_count,review_rate,coverage,base_model,regret_margin_threshold,review_threshold,confidence_threshold,stage32_false_safe,stage30_balanced_cer,stage27_balanced_router_cer
margin0.00_review0.40_conf0.50,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.0,0.4,0.5,4,0.529082,0.502854
margin0.00_review0.40_conf0.60,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.0,0.4,0.6,4,0.529082,0.502854
margin0.00_review0.40_conf0.70,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.0,0.4,0.7,4,0.529082,0.502854
margin0.00_review0.40_conf0.80,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.0,0.4,0.8,4,0.529082,0.502854
margin0.00_review0.40_conf0.90,9,0.519641,0.0,0.0,0,0,1.0,0.0,R2_regret_rank_review_head,0.0,0.4,0.9,4,0.529082,0.502854
margin0.00_review0.50_conf0.50,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.0,0.5,0.5,4,0.529082,0.502854
margin0.00_review0.50_conf0.60,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.0,0.5,0.6,4,0.529082,0.502854
margin0.00_review0.50_conf0.70,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.0,0.5,0.7,4,0.529082,0.502854
margin0.00_review0.50_conf0.80,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.0,0.5,0.8,4,0.529082,0.502854
margin0.00_review0.50_conf0.90,9,0.519641,0.0,0.0,0,0,1.0,0.0,R2_regret_rank_review_head,0.0,0.5,0.9,4,0.529082,0.502854
margin0.00_review0.60_conf0.50,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.0,0.6,0.5,4,0.529082,0.502854
margin0.00_review0.60_conf0.60,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.0,0.6,0.6,4,0.529082,0.502854
margin0.00_review0.60_conf0.70,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.0,0.6,0.7,4,0.529082,0.502854
margin0.00_review0.60_conf0.80,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.0,0.6,0.8,4,0.529082,0.502854
margin0.00_review0.60_conf0.90,9,0.519641,0.0,0.0,0,0,1.0,0.0,R2_regret_rank_review_head,0.0,0.6,0.9,4,0.529082,0.502854
margin0.00_review0.70_conf0.50,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.0,0.7,0.5,4,0.529082,0.502854
margin0.00_review0.70_conf0.60,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.0,0.7,0.6,4,0.529082,0.502854
margin0.00_review0.70_conf0.70,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.0,0.7,0.7,4,0.529082,0.502854
margin0.00_review0.70_conf0.80,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.0,0.7,0.8,4,0.529082,0.502854
margin0.00_review0.70_conf0.90,9,0.519641,0.0,0.0,0,0,1.0,0.0,R2_regret_rank_review_head,0.0,0.7,0.9,4,0.529082,0.502854
margin0.00_review0.80_conf0.50,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.0,0.8,0.5,4,0.529082,0.502854
margin0.00_review0.80_conf0.60,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.0,0.8,0.6,4,0.529082,0.502854
margin0.00_review0.80_conf0.70,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.0,0.8,0.7,4,0.529082,0.502854
margin0.00_review0.80_conf0.80,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.0,0.8,0.8,4,0.529082,0.502854
margin0.00_review0.80_conf0.90,9,0.519641,0.0,0.0,0,0,1.0,0.0,R2_regret_rank_review_head,0.0,0.8,0.9,4,0.529082,0.502854
margin0.01_review0.40_conf0.50,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.01,0.4,0.5,4,0.529082,0.502854
margin0.01_review0.40_conf0.60,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.01,0.4,0.6,4,0.529082,0.502854
margin0.01_review0.40_conf0.70,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.01,0.4,0.7,4,0.529082,0.502854
margin0.01_review0.40_conf0.80,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.01,0.4,0.8,4,0.529082,0.502854
margin0.01_review0.40_conf0.90,9,0.519641,0.0,0.0,0,0,1.0,0.0,R2_regret_rank_review_head,0.01,0.4,0.9,4,0.529082,0.502854
margin0.01_review0.50_conf0.50,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.01,0.5,0.5,4,0.529082,0.502854
margin0.01_review0.50_conf0.60,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.01,0.5,0.6,4,0.529082,0.502854
margin0.01_review0.50_conf0.70,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.01,0.5,0.7,4,0.529082,0.502854
margin0.01_review0.50_conf0.80,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.01,0.5,0.8,4,0.529082,0.502854
margin0.01_review0.50_conf0.90,9,0.519641,0.0,0.0,0,0,1.0,0.0,R2_regret_rank_review_head,0.01,0.5,0.9,4,0.529082,0.502854
margin0.01_review0.60_conf0.50,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.01,0.6,0.5,4,0.529082,0.502854
margin0.01_review0.60_conf0.60,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.01,0.6,0.6,4,0.529082,0.502854
margin0.01_review0.60_conf0.70,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.01,0.6,0.7,4,0.529082,0.502854
margin0.01_review0.60_conf0.80,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.01,0.6,0.8,4,0.529082,0.502854
margin0.01_review0.60_conf0.90,9,0.519641,0.0,0.0,0,0,1.0,0.0,R2_regret_rank_review_head,0.01,0.6,0.9,4,0.529082,0.502854
margin0.01_review0.70_conf0.50,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.01,0.7,0.5,4,0.529082,0.502854
margin0.01_review0.70_conf0.60,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.01,0.7,0.6,4,0.529082,0.502854
margin0.01_review0.70_conf0.70,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.01,0.7,0.7,4,0.529082,0.502854
margin0.01_review0.70_conf0.80,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.01,0.7,0.8,4,0.529082,0.502854
margin0.01_review0.70_conf0.90,9,0.519641,0.0,0.0,0,0,1.0,0.0,R2_regret_rank_review_head,0.01,0.7,0.9,4,0.529082,0.502854
margin0.01_review0.80_conf0.50,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.01,0.8,0.5,4,0.529082,0.502854
margin0.01_review0.80_conf0.60,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.01,0.8,0.6,4,0.529082,0.502854
margin0.01_review0.80_conf0.70,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.01,0.8,0.7,4,0.529082,0.502854
margin0.01_review0.80_conf0.80,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.01,0.8,0.8,4,0.529082,0.502854
margin0.01_review0.80_conf0.90,9,0.519641,0.0,0.0,0,0,1.0,0.0,R2_regret_rank_review_head,0.01,0.8,0.9,4,0.529082,0.502854
margin0.02_review0.40_conf0.50,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.02,0.4,0.5,4,0.529082,0.502854
margin0.02_review0.40_conf0.60,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.02,0.4,0.6,4,0.529082,0.502854
margin0.02_review0.40_conf0.70,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.02,0.4,0.7,4,0.529082,0.502854
margin0.02_review0.40_conf0.80,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.02,0.4,0.8,4,0.529082,0.502854
margin0.02_review0.40_conf0.90,9,0.519641,0.0,0.0,0,0,1.0,0.0,R2_regret_rank_review_head,0.02,0.4,0.9,4,0.529082,0.502854
margin0.02_review0.50_conf0.50,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.02,0.5,0.5,4,0.529082,0.502854
margin0.02_review0.50_conf0.60,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.02,0.5,0.6,4,0.529082,0.502854
margin0.02_review0.50_conf0.70,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.02,0.5,0.7,4,0.529082,0.502854
margin0.02_review0.50_conf0.80,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.02,0.5,0.8,4,0.529082,0.502854
margin0.02_review0.50_conf0.90,9,0.519641,0.0,0.0,0,0,1.0,0.0,R2_regret_rank_review_head,0.02,0.5,0.9,4,0.529082,0.502854
margin0.02_review0.60_conf0.50,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.02,0.6,0.5,4,0.529082,0.502854
margin0.02_review0.60_conf0.60,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.02,0.6,0.6,4,0.529082,0.502854
margin0.02_review0.60_conf0.70,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.02,0.6,0.7,4,0.529082,0.502854
margin0.02_review0.60_conf0.80,9,0.519641,0.0,1.0,0,0,0.777778,0.222222,R2_regret_rank_review_head,0.02,0.6,0.8,4,0.529082,0.502854
margin0.02_review0.60_conf0.90,9,0.519641,0.0,0.0,0,0,1.0,0.0,R2_regret_rank_review_head,0.02,0.6,0.9,4,0.529082,0.502854
