sample_id,annotator_id,manual_reference_spk1,manual_reference_spk2,speaker_time_notes,quality_flags,verification_status
controlled_route_sensitive_v2_0048,,,,,,prepared_not_annotated
controlled_route_sensitive_v2_0020,,,,,,prepared_not_annotated
controlled_route_sensitive_v2_0009,,,,,,prepared_not_annotated
controlled_route_sensitive_v2_0026,,,,,,prepared_not_annotated
controlled_route_sensitive_v2_0054,,,,,,prepared_not_annotated
controlled_route_sensitive_v2_0098,,,,,,prepared_not_annotated
controlled_route_sensitive_v2_0043,,,,,,prepared_not_annotated
controlled_route_sensitive_v2_0119,,,,,,prepared_not_annotated
controlled_route_sensitive_v2_0053,,,,,,prepared_not_annotated
controlled_route_sensitive_v2_0065,,,,,,prepared_not_annotated
controlled_route_sensitive_v2_0081,,,,,,prepared_not_annotated
