sample_id,source_disjoint_split,mixed_path,spk1_path,spk2_path,reference_type,verification_status,selection_reason
controlled_route_sensitive_v2_0048,test,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0048_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0048_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0048_spk2.wav,silver_plus_unverified,prepared_not_annotated,source_disjoint_test_high_overlap_or_review_risk
controlled_route_sensitive_v2_0020,test,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0020_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0020_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0020_spk2.wav,silver_plus_unverified,prepared_not_annotated,source_disjoint_test_high_overlap_or_review_risk
controlled_route_sensitive_v2_0009,test,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0009_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0009_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0009_spk2.wav,silver_plus_unverified,prepared_not_annotated,source_disjoint_test_high_overlap_or_review_risk
controlled_route_sensitive_v2_0026,test,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0026_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0026_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0026_spk2.wav,silver_plus_unverified,prepared_not_annotated,source_disjoint_test_high_overlap_or_review_risk
controlled_route_sensitive_v2_0054,test,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0054_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0054_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0054_spk2.wav,silver_plus_unverified,prepared_not_annotated,source_disjoint_test_high_overlap_or_review_risk
controlled_route_sensitive_v2_0098,test,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0098_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0098_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0098_spk2.wav,silver_plus_unverified,prepared_not_annotated,source_disjoint_test_high_overlap_or_review_risk
controlled_route_sensitive_v2_0043,test,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0043_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0043_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0043_spk2.wav,silver_plus_unverified,prepared_not_annotated,source_disjoint_test_high_overlap_or_review_risk
controlled_route_sensitive_v2_0119,test,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0119_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0119_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0119_spk2.wav,silver_plus_unverified,prepared_not_annotated,source_disjoint_test_high_overlap_or_review_risk
controlled_route_sensitive_v2_0053,test,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0053_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0053_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0053_spk2.wav,silver_plus_unverified,prepared_not_annotated,source_disjoint_test_high_overlap_or_review_risk
controlled_route_sensitive_v2_0065,test,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0065_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0065_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0065_spk2.wav,silver_plus_unverified,prepared_not_annotated,source_disjoint_test_high_overlap_or_review_risk
controlled_route_sensitive_v2_0081,test,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0081_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0081_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0081_spk2.wav,silver_plus_unverified,prepared_not_annotated,source_disjoint_test_high_overlap_or_review_risk
