strategy,average_cer,gap_to_oracle,notes
fixed_mixed_whisper,0.311442,0.229203,Fixed baseline that always chooses mixed_whisper.
fixed_separated_whisper,0.380701,0.298462,Fixed baseline that always chooses separated_whisper.
fixed_separated_whisper_cleaned,0.203778,0.121539,Fixed baseline that always chooses separated_whisper_cleaned.
oracle_best,0.082239,0.0,Upper bound: chooses the lowest CER method per sample/case.
v1_overlap_only,0.350902,0.268663,Uses overlap level only; this is the current rule-based baseline.
length_ratio_only,0.311442,0.229203,"Uses length inflation as the only instability signal, then falls back to v1."
repetition_only,0.173979,0.09174,"Uses repetition hallucination as the only instability signal, then falls back to v1."
removed_count_only,0.173979,0.09174,"Uses cleaned duplicate-removal count as the only instability signal, then falls back to v1."
length_plus_repetition,0.340673,0.258434,Combines length inflation and repetition as instability signals.
v2_full_features,0.167553,0.085314,Current feature router v2 with all observable instability features.
