sample_id,source_disjoint_split,benchmark_status,reference_type,reference_quality_label,claimed_as_gold,char_count,word_count,risk_flags
controlled_route_sensitive_v2_0001,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,73,6,not_manual_gold
controlled_route_sensitive_v2_0002,train,included_source_disjoint,silver_plus_unverified,review_required,False,73,6,not_manual_gold
controlled_route_sensitive_v2_0003,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,71,8,not_manual_gold
controlled_route_sensitive_v2_0004,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,63,6,not_manual_gold
controlled_route_sensitive_v2_0005,train,included_source_disjoint,silver_plus_unverified,review_required,False,61,6,not_manual_gold
controlled_route_sensitive_v2_0006,validation,included_source_disjoint,silver_plus_unverified,review_required,False,75,6,not_manual_gold
controlled_route_sensitive_v2_0007,train,included_source_disjoint,silver_plus_unverified,review_required,False,65,6,not_manual_gold
controlled_route_sensitive_v2_0008,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,71,6,not_manual_gold
controlled_route_sensitive_v2_0009,test,included_source_disjoint,silver_plus_unverified,review_required,False,73,6,not_manual_gold
controlled_route_sensitive_v2_0010,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,83,6,not_manual_gold
controlled_route_sensitive_v2_0011,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,103,6,not_manual_gold
controlled_route_sensitive_v2_0012,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,77,8,not_manual_gold
controlled_route_sensitive_v2_0013,train,included_source_disjoint,silver_plus_unverified,review_required,False,87,6,not_manual_gold
controlled_route_sensitive_v2_0014,validation,included_source_disjoint,silver_plus_unverified,review_required,False,63,6,not_manual_gold
controlled_route_sensitive_v2_0015,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,61,6,not_manual_gold
controlled_route_sensitive_v2_0016,train,included_source_disjoint,silver_plus_unverified,review_required,False,69,6,not_manual_gold
controlled_route_sensitive_v2_0017,validation,included_source_disjoint,silver_plus_unverified,review_required,False,81,6,not_manual_gold
controlled_route_sensitive_v2_0018,train,included_source_disjoint,silver_plus_unverified,review_required,False,63,6,not_manual_gold
controlled_route_sensitive_v2_0019,train,included_source_disjoint,silver_plus_unverified,review_required,False,69,6,not_manual_gold
controlled_route_sensitive_v2_0020,test,included_source_disjoint,silver_plus_unverified,review_required,False,57,8,not_manual_gold
controlled_route_sensitive_v2_0021,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,71,6,not_manual_gold
controlled_route_sensitive_v2_0022,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,99,6,not_manual_gold
controlled_route_sensitive_v2_0023,validation,included_source_disjoint,silver_plus_unverified,review_required,False,87,6,not_manual_gold
controlled_route_sensitive_v2_0024,train,included_source_disjoint,silver_plus_unverified,review_required,False,81,6,not_manual_gold
controlled_route_sensitive_v2_0025,validation,included_source_disjoint,silver_plus_unverified,review_required,False,71,6,not_manual_gold
controlled_route_sensitive_v2_0026,test,included_source_disjoint,silver_plus_unverified,review_required,False,83,6,not_manual_gold
controlled_route_sensitive_v2_0027,train,included_source_disjoint,silver_plus_unverified,review_required,False,83,6,not_manual_gold
controlled_route_sensitive_v2_0028,validation,included_source_disjoint,silver_plus_unverified,review_required,False,59,6,not_manual_gold
controlled_route_sensitive_v2_0029,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,65,8,not_manual_gold
controlled_route_sensitive_v2_0030,train,included_source_disjoint,silver_plus_unverified,review_required,False,77,6,not_manual_gold
controlled_route_sensitive_v2_0031,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,71,6,not_manual_gold
controlled_route_sensitive_v2_0032,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,67,6,not_manual_gold
controlled_route_sensitive_v2_0033,train,included_source_disjoint,silver_plus_unverified,review_required,False,97,6,not_manual_gold
controlled_route_sensitive_v2_0034,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,79,8,not_manual_gold
controlled_route_sensitive_v2_0035,train,included_source_disjoint,silver_plus_unverified,review_required,False,67,6,not_manual_gold
controlled_route_sensitive_v2_0036,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,67,6,not_manual_gold
controlled_route_sensitive_v2_0037,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,75,6,not_manual_gold
controlled_route_sensitive_v2_0038,train,included_source_disjoint,silver_plus_unverified,review_required,False,65,6,not_manual_gold
controlled_route_sensitive_v2_0039,validation,included_source_disjoint,silver_plus_unverified,review_required,False,67,6,not_manual_gold
controlled_route_sensitive_v2_0040,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,83,6,not_manual_gold
controlled_route_sensitive_v2_0041,train,included_source_disjoint,silver_plus_unverified,review_required,False,85,6,not_manual_gold
controlled_route_sensitive_v2_0042,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,49,6,not_manual_gold
controlled_route_sensitive_v2_0043,test,included_source_disjoint,silver_plus_unverified,review_required,False,71,8,not_manual_gold
controlled_route_sensitive_v2_0044,train,included_source_disjoint,silver_plus_unverified,review_required,False,119,6,not_manual_gold
controlled_route_sensitive_v2_0045,validation,included_source_disjoint,silver_plus_unverified,review_required,False,93,6,not_manual_gold
controlled_route_sensitive_v2_0046,train,included_source_disjoint,silver_plus_unverified,review_required,False,65,6,not_manual_gold
controlled_route_sensitive_v2_0047,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,73,6,not_manual_gold
controlled_route_sensitive_v2_0048,test,included_source_disjoint,silver_plus_unverified,review_required,False,67,8,not_manual_gold
controlled_route_sensitive_v2_0049,train,included_source_disjoint,silver_plus_unverified,review_required,False,63,6,not_manual_gold
controlled_route_sensitive_v2_0050,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,61,6,not_manual_gold
controlled_route_sensitive_v2_0051,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,75,6,not_manual_gold
controlled_route_sensitive_v2_0052,train,included_source_disjoint,silver_plus_unverified,review_required,False,73,6,not_manual_gold
controlled_route_sensitive_v2_0053,test,included_source_disjoint,silver_plus_unverified,review_required,False,53,6,not_manual_gold
controlled_route_sensitive_v2_0054,test,included_source_disjoint,silver_plus_unverified,review_required,False,89,6,not_manual_gold
controlled_route_sensitive_v2_0055,train,included_source_disjoint,silver_plus_unverified,review_required,False,113,6,not_manual_gold
controlled_route_sensitive_v2_0056,validation,included_source_disjoint,silver_plus_unverified,review_required,False,79,6,not_manual_gold
controlled_route_sensitive_v2_0057,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,69,8,not_manual_gold
