sample_id,source_disjoint_split,benchmark_status,reference_type,reference_quality_label,claimed_as_gold,char_count,word_count,risk_flags,exclusion_reason
controlled_route_sensitive_v2_0002,train,included_source_disjoint,silver_plus_unverified,review_required,False,73,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0005,train,included_source_disjoint,silver_plus_unverified,review_required,False,61,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0006,validation,included_source_disjoint,silver_plus_unverified,review_required,False,75,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0007,train,included_source_disjoint,silver_plus_unverified,review_required,False,65,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0009,test,included_source_disjoint,silver_plus_unverified,review_required,False,73,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0013,train,included_source_disjoint,silver_plus_unverified,review_required,False,87,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0014,validation,included_source_disjoint,silver_plus_unverified,review_required,False,63,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0016,train,included_source_disjoint,silver_plus_unverified,review_required,False,69,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0017,validation,included_source_disjoint,silver_plus_unverified,review_required,False,81,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0018,train,included_source_disjoint,silver_plus_unverified,review_required,False,63,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0019,train,included_source_disjoint,silver_plus_unverified,review_required,False,69,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0020,test,included_source_disjoint,silver_plus_unverified,review_required,False,57,8,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0023,validation,included_source_disjoint,silver_plus_unverified,review_required,False,87,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0024,train,included_source_disjoint,silver_plus_unverified,review_required,False,81,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0025,validation,included_source_disjoint,silver_plus_unverified,review_required,False,71,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0026,test,included_source_disjoint,silver_plus_unverified,review_required,False,83,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0027,train,included_source_disjoint,silver_plus_unverified,review_required,False,83,6,not_manual_gold,manual_review_before_gold_promotion
