dataset,scope,strategy,average_cer,average_compute_cost,average_rtf,pareto_status,dominated_by,notes
synthetic_split,ALL,fixed_mixed_whisper,0.465715,0.674,0.163361,frontier,,Pareto frontier minimizes average CER and average compute cost jointly.
synthetic_split,ALL,fixed_separated_whisper,0.401869,1.10836,0.133284,dominated,fixed_separated_whisper_cleaned,Dominated by a strategy with no worse CER and no worse compute cost.
synthetic_split,ALL,fixed_separated_whisper_cleaned,0.179021,1.10836,0.133284,frontier,,Pareto frontier minimizes average CER and average compute cost jointly.
synthetic_split,ALL,router_v2_synthetic_costed,0.285187,0.78127,0.148342,frontier,,Pareto frontier minimizes average CER and average compute cost jointly.
synthetic_split,ALL,budget_cascade,0.367582,0.94756,0.148228,dominated,router_v2_synthetic_costed,Dominated by a strategy with no worse CER and no worse compute cost.
synthetic_split,ALL,cleaned_preferred_cascade,0.249877,1.04816,0.156245,frontier,,Pareto frontier minimizes average CER and average compute cost jointly.
synthetic_split,DEV,fixed_mixed_whisper,0.4867,0.74366,0.17536,frontier,,Pareto frontier minimizes average CER and average compute cost jointly.
synthetic_split,DEV,fixed_separated_whisper,0.367072,1.01176,0.122603,dominated,fixed_separated_whisper_cleaned,Dominated by a strategy with no worse CER and no worse compute cost.
synthetic_split,DEV,fixed_separated_whisper_cleaned,0.172804,1.01176,0.122603,frontier,,Pareto frontier minimizes average CER and average compute cost jointly.
synthetic_split,DEV,router_v2_synthetic_costed,0.235049,0.76668,0.148484,frontier,,Pareto frontier minimizes average CER and average compute cost jointly.
synthetic_split,DEV,budget_cascade,0.4201,0.97074,0.151484,dominated,router_v2_synthetic_costed,Dominated by a strategy with no worse CER and no worse compute cost.
synthetic_split,DEV,cleaned_preferred_cascade,0.225832,0.97074,0.151484,frontier,,Pareto frontier minimizes average CER and average compute cost jointly.
synthetic_split,TEST,fixed_mixed_whisper,0.44473,0.60434,0.151362,frontier,,Pareto frontier minimizes average CER and average compute cost jointly.
synthetic_split,TEST,fixed_separated_whisper,0.436666,1.20496,0.143966,dominated,fixed_separated_whisper_cleaned,Dominated by a strategy with no worse CER and no worse compute cost.
synthetic_split,TEST,fixed_separated_whisper_cleaned,0.185238,1.20496,0.143966,frontier,,Pareto frontier minimizes average CER and average compute cost jointly.
synthetic_split,TEST,router_v2_synthetic_costed,0.335326,0.79586,0.148201,frontier,,Pareto frontier minimizes average CER and average compute cost jointly.
synthetic_split,TEST,budget_cascade,0.315064,0.92438,0.144971,frontier,,Pareto frontier minimizes average CER and average compute cost jointly.
synthetic_split,TEST,cleaned_preferred_cascade,0.273921,1.12558,0.161006,frontier,,Pareto frontier minimizes average CER and average compute cost jointly.
